simulation,distance_sigma,a_sn1,rmse,pearson_r,bias,rmse_corrected,bias_corrected,num_galaxies
LH_122,5.706841575937545,1.11265,0.7642444964804308,0.9121715030337731,-0.5952330232079132,0.5073362689335742,-0.1662010568319131,357
LH_296,21.332161365265677,3.99446,0.3954083291938425,0.9410076803787625,0.2265291076165604,0.3241194082859831,0.004591364649520755,367
LH_299,5.550807405849675,0.94737,0.9266494017165493,0.8552739095530598,-0.782777711692091,0.5614510192203667,-0.26322818846745105,449
LH_306,9.289199790852186,0.2924,1.249873132798196,0.8447244372740185,-1.099978596098371,0.6159976667312362,-0.16499451264237117,684
LH_31,19.582142876441388,3.77899,0.6791188509923732,0.9141028047261519,0.5508929391881475,0.508116275898869,0.3169586195507076,697
LH_318,23.807869021553334,3.96137,0.3722583477288075,0.958589488470816,-0.04538832248231178,0.4575055036351371,-0.26980568604167166,294
LH_354,7.157662798867689,1.9,0.36546172059288023,0.9493298086610807,-0.010252499942538889,0.37137203898996163,0.06678350005746098,809
LH_364,7.441326382673616,0.25035,0.8816787632555385,0.9065508806506503,-0.6962906280091793,0.6038274576768675,0.26846004492682096,1254
LH_388,11.498600649444331,2.39828,0.3937454786582533,0.9333688590665595,-0.21572069789663226,0.44138256262051984,-0.2938000750895925,278
LH_493,1.2111346834661003,1.12818,0.2882975165280308,0.9570973847088511,-0.11158428693380608,0.4077905983064217,0.3092390129356339,1157
LH_616,3.7406603132213294,0.71005,0.45741889716616774,0.9448910445314226,-0.2751140625064587,0.5304541245016295,0.3844961353575413,1368
LH_64,21.317074080928986,3.9834,0.539621813555376,0.9273199524284111,0.4433005264958468,0.3785501817266275,0.2205082656318464,487
LH_677,18.269722832594137,3.44857,0.499987685543971,0.9370404929860229,-0.4170137705635333,0.7063807367110521,-0.6502972738220935,361
LH_728,8.06921830091586,0.45439,1.2095410519843057,0.9166236823156022,-1.0340190567822105,0.6618039762514418,-0.21021502404845063,340
LH_75,9.220508168861064,0.25104,1.3421411027356878,0.7945475247738696,-1.208708187579057,0.6325524132861328,-0.2444489693620974,551
LH_759,6.097272668342932,1.33607,0.32625879373240907,0.9461627325232727,-0.14340730145414513,0.34001994543534625,0.1724367040872946,718
LH_817,10.67726235207953,2.54912,0.3868859226683845,0.9410855112888726,0.28645106073707305,0.31165067732200136,0.17175458571371335,637
LH_835,4.625632761728654,0.9113,0.6300273181557788,0.9131787978416449,-0.46409485682201107,0.43280792888963465,0.0759757712419883,647
LH_845,17.804318989394275,3.38229,0.5777845840041634,0.9130000950511805,0.35370451881330767,0.47322084455846114,0.12332813483026718,731
LH_970,20.585373100040137,3.93947,0.497057605037772,0.9388800319752211,0.3779634066619388,0.3568244565970831,0.15203212448497863,584
