simulation,N_calib,rmse,bias,a_sn1,distance_sigma,num_galaxies
LH_122,5,0.5094387541453387,0.17066536839232066,1.11265,5.706841575937545,357
LH_122,10,0.4804333600208671,0.020372460928216953,1.11265,5.706841575937545,357
LH_122,20,0.4887645438639364,-0.09213904211491208,1.11265,5.706841575937545,357
LH_122,50,0.4863824943720351,-0.07852868631840526,1.11265,5.706841575937545,357
LH_296,5,0.3243789211745078,0.027567226194209767,3.99446,21.332161365265677,367
LH_296,10,0.3321543295355531,0.07658176079797337,3.99446,21.332161365265677,367
LH_296,20,0.32685606600171146,0.04871504223358897,3.99446,21.332161365265677,367
LH_296,50,0.3258996378504764,-0.04181915122018616,3.99446,21.332161365265677,367
LH_299,5,0.5917567079312324,-0.32330252051595737,0.94737,5.550807405849675,449
LH_299,10,0.5657821210228793,0.27286979836454855,0.94737,5.550807405849675,449
LH_299,20,0.4962962123251045,0.025660256401808686,0.94737,5.550807405849675,449
LH_299,50,0.5074016053242931,-0.10865039105328228,0.94737,5.550807405849675,449
LH_306,5,0.5987355809099598,0.07858375767839916,0.2924,9.289199790852186,684
LH_306,10,0.6014191659510182,-0.09693360767292676,0.2924,9.289199790852186,684
LH_306,20,0.6079381329701803,0.13145297502353898,0.2924,9.289199790852186,684
LH_306,50,0.5953394885435103,-0.046045822204828966,0.2924,9.289199790852186,684
LH_31,5,0.4063754843995571,-0.08676870764618749,3.77899,19.582142876441388,697
LH_31,10,0.3988668734425611,0.03850398726702108,3.77899,19.582142876441388,697
LH_31,20,0.3999949301593199,0.0488233392833167,3.77899,19.582142876441388,697
LH_31,50,0.3970197903301439,0.0035338674856993752,3.77899,19.582142876441388,697
LH_318,5,0.37961409388615647,-0.08470938582228082,3.96137,23.807869021553334,294
LH_318,10,0.37022600294843266,-0.011666748842470527,3.96137,23.807869021553334,294
LH_318,20,0.3756507309938047,0.06467063835745054,3.96137,23.807869021553334,294
LH_318,50,0.3816928071139423,-0.09358535554188786,3.96137,23.807869021553334,294
LH_354,5,0.368694504020145,-0.049229113313746416,1.9,7.157662798867689,809
LH_354,10,0.3739555445644539,0.0795651783979294,1.9,7.157662798867689,809
LH_354,20,0.36738367675962696,-0.03819207054375488,1.9,7.157662798867689,809
LH_354,50,0.3657894546416917,-0.017023320183304366,1.9,7.157662798867689,809
LH_364,5,0.7475100176298874,0.5157125444454103,0.25035,7.441326382673616,1254
LH_364,10,0.5441820747928746,0.05763967875693171,0.25035,7.441326382673616,1254
LH_364,20,0.5441343992321683,-0.05718781748831973,0.25035,7.441326382673616,1254
LH_364,50,0.5429975001804406,-0.04510529063792704,0.25035,7.441326382673616,1254
LH_388,5,0.33289849627208756,-0.04663907206785004,2.39828,11.498600649444331,278
LH_388,10,0.3637396636004381,-0.15381917012938603,2.39828,11.498600649444331,278
LH_388,20,0.3311024506637472,-0.031346882758452876,2.39828,11.498600649444331,278
LH_388,50,0.33001708185326284,0.016280925590279244,2.39828,11.498600649444331,278
LH_493,5,0.2903327624400115,-0.11673355269906385,1.12818,1.2111346834661003,1157
LH_493,10,0.3542601125971739,-0.23416625879289116,1.12818,1.2111346834661003,1157
LH_493,20,0.26934032819318343,0.043333840943409606,1.12818,1.2111346834661003,1157
LH_493,50,0.27474069736123136,0.06939783978073595,1.12818,1.2111346834661003,1157
LH_616,5,0.3663832562070797,0.02454232393441612,0.71005,3.7406603132213294,1368
LH_616,10,0.3740903685694477,0.07943071881598854,0.71005,3.7406603132213294,1368
LH_616,20,0.36607270985092094,-0.019361408337096805,0.71005,3.7406603132213294,1368
LH_616,50,0.3662046267431125,0.02171321909025946,0.71005,3.7406603132213294,1368
LH_64,5,0.32421873540549934,0.10284400425181701,3.9834,21.317074080928986,487
LH_64,10,0.30872606907071143,-0.02776484371395537,3.9834,21.317074080928986,487
LH_64,20,0.3093114748627324,0.03365544984642994,3.9834,21.317074080928986,487
LH_64,50,0.3082864841051818,-0.022353011084439746,3.9834,21.317074080928986,487
LH_677,5,0.2850058328397133,-0.06874403531174482,3.44857,18.269722832594137,361
LH_677,10,0.31710158453271453,0.15508330842306065,3.44857,18.269722832594137,361
LH_677,20,0.2847998276363207,-0.06788489861494841,3.44857,18.269722832594137,361
LH_677,50,0.276788376510795,0.010450981282418413,3.44857,18.269722832594137,361
LH_728,5,0.7642123250732688,0.43590269255929226,0.45439,8.06921830091586,340
LH_728,10,0.6277094386409623,0.003133519666695652,0.45439,8.06921830091586,340
LH_728,20,0.6325719443578425,0.07834503414519038,0.45439,8.06921830091586,340
LH_728,50,0.6277031311381785,-0.0013785598366026076,0.45439,8.06921830091586,340
LH_75,5,0.5832594575118742,0.0032965109263389946,0.25104,9.220508168861064,551
LH_75,10,0.5901989732211351,0.09030005647021382,0.25104,9.220508168861064,551
LH_75,20,0.6040275250359253,0.15706216351580998,0.25104,9.220508168861064,551
LH_75,50,0.5890274979511324,0.08229620616901447,0.25104,9.220508168861064,551
LH_759,5,0.30593324812328065,0.08801607576127699,1.33607,6.097272668342932,718
LH_759,10,0.34534061603871585,-0.18278899959011186,1.33607,6.097272668342932,718
LH_759,20,0.30164660696857354,-0.07171019997745937,1.33607,6.097272668342932,718
LH_759,50,0.2936499903117169,-0.01954466922783778,1.33607,6.097272668342932,718
LH_817,5,0.2609976728119215,0.01820949713130926,2.54912,10.67726235207953,637
LH_817,10,0.27726756202703867,0.09533677949749479,2.54912,10.67726235207953,637
LH_817,20,0.2603655489453585,0.0014211439596688515,2.54912,10.67726235207953,637
LH_817,50,0.26041758227530915,0.0053960847522681555,2.54912,10.67726235207953,637
LH_835,5,0.4955598150100503,0.25431111127814615,0.9113,4.625632761728654,647
LH_835,10,0.42692716132903713,-0.03689731897035291,0.9113,4.625632761728654,647
LH_835,20,0.44184922153734474,0.11968853595849555,0.9113,4.625632761728654,647
LH_835,50,0.4283093599480902,-0.05043331127214544,0.9113,4.625632761728654,647
LH_845,5,0.47900083924060044,-0.14306904934412223,3.38229,17.804318989394275,731
LH_845,10,0.4766185821028778,0.13487854422697862,3.38229,17.804318989394275,731
LH_845,20,0.45772114617294407,0.023142958775942385,3.38229,17.804318989394275,731
LH_845,50,0.4577243427502392,-0.02320609474189648,3.38229,17.804318989394275,731
LH_970,5,0.33502662298117564,0.09094966987773748,3.93947,20.585373100040137,584
LH_970,10,0.3870975176879095,0.21418098081958659,3.93947,20.585373100040137,584
LH_970,20,0.32293248952075865,0.017731247355260733,3.93947,20.585373100040137,584
LH_970,50,0.3234560050765805,0.025549786003008296,3.93947,20.585373100040137,584
