file,halo_id,satellite_subhalo_index,central_subhalo_index,satellite_Mstar,central_Mstar,Mstar_ratio,satellite_Mt,central_Mt,Mt_ratio,satellite_Vmax,central_Vmax
Astrid_CV_0_groups_090.hdf5,48.0,2176.0,2175.0,4857640960.0,4175722496.0,1.1633055033358233,458291838976.0,683622989824.0,1.4916761148343298,153.9938201904297,149.69631958007812
Astrid_CV_0_groups_090.hdf5,176.0,2813.0,2812.0,945309248.0,704984896.0,1.3408929090021242,128629080064.0,215884791808.0,1.6783513626979647,105.49109649658203,105.19673919677734
Astrid_CV_0_groups_090.hdf5,185.0,2842.0,2841.0,233424480.0,172234416.0,1.355271991632613,79620431872.0,132763615232.0,1.6674566076887707,87.40546417236328,84.40411376953125
Astrid_CV_0_groups_090.hdf5,196.0,2890.0,2889.0,502913600.0,220480528.0,2.280988732029887,109927202816.0,110545412096.0,1.0056238061568326,92.15057373046875,84.36788940429688
Astrid_CV_0_groups_090.hdf5,204.0,2912.0,2911.0,237670352.0,229040880.0,1.037676558001349,42561499136.0,149870182400.0,3.5212618315230952,83.55096435546875,94.15741729736328
Astrid_SB7_143_groups_090.hdf5,31.0,1001.0,1000.0,3824530944.0,2824364032.0,1.3541211050233344,428411420672.0,572382838784.0,1.3360587770656733,136.71524047851562,128.67129516601562
Astrid_SB7_143_groups_090.hdf5,53.0,1240.0,1239.0,807999360.0,633913152.0,1.2746215431100567,170111352832.0,452302471168.0,2.658861173214516,107.72628784179688,121.5060806274414
Astrid_SB7_143_groups_090.hdf5,74.0,1385.0,1384.0,884920192.0,761752128.0,1.1616904757763933,169244557312.0,360696250368.0,2.1312132933354038,102.34847259521484,109.08280944824219
Astrid_SB7_143_groups_090.hdf5,100.0,1526.0,1525.0,936339072.0,911454400.0,1.0273021579576553,77742735360.0,328755412992.0,4.228760558393607,94.04074096679688,107.44490814208984
Astrid_SB7_14_groups_090.hdf5,46.0,1999.0,1998.0,938314304.0,808471232.0,1.1606032062251537,118110838784.0,1410866610176.0,11.945276358219585,155.97592163085938,201.6640167236328
Astrid_SB7_14_groups_090.hdf5,48.0,2022.0,2021.0,640380352.0,617903744.0,1.0363755815015745,273018257408.0,1001773989888.0,3.669256405775616,146.37144470214844,154.0687255859375
Astrid_SB7_690_groups_090.hdf5,102.0,2830.0,2829.0,504834624.0,361969920.0,1.3946866745170428,320863174656.0,720587128832.0,2.2457769720833416,138.92303466796875,146.03790283203125
Astrid_SB7_719_groups_090.hdf5,93.0,1737.0,1736.0,1094674816.0,773303808.0,1.4155818252481696,74743947264.0,272145006592.0,3.641030699526316,78.59434509277344,83.10543823242188
Astrid_SB7_719_groups_090.hdf5,215.0,2271.0,2270.0,388043072.0,297195008.0,1.3056850268494415,57052114944.0,140811927552.0,2.4681280911358883,66.08729553222656,74.7854995727539
